Model,Subgroup_variable,Subgroup_level,n_respondents,n_choice_sets,n_observations,Variable,Coefficient,SE,z_value,p_value,Odds_Ratio,Significance
M56 full-sample reference,Full sample,Full sample,106,1036,2072,"Purchase_PriceRMB 150,000–170,000",-0.011531049387909012,0.2316278551442155,-0.04978265407987991,0.9602955895812548,0.9885351783591877,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,"Purchase_PriceRMB 190,000–210,000",-0.18857040177666393,0.19888785949049415,-0.948124245792271,0.3430662064506266,0.8281421987041685,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Monthly_Operating_CostRMB 300/month,1.0185736774508356,0.2687369914629049,3.7902250520335765,1.5051085374125396e-4,2.769242113286731,***
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Monthly_Operating_CostRMB 600/month,0.5364872647806799,0.20319798435450442,2.640219421885162,0.008285236547366542,1.7099895592269247,**
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Cabin_ComfortImproved,-1.3773830941385985,1.3552204555294063,-1.0163535301719855,0.30946106605399276,0.25223777263143665,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Cabin_ComfortPremium,-0.4144676762710206,0.48137774447986315,-0.8610029878279063,0.3892363974838511,0.6606918890820414,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,PowertrainBEV,-0.1870826155159116,0.23312749586878545,-0.8024905634520694,0.4222692448583702,0.8293752142937357,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,ReliabilityHigh,-0.232287521481577,0.5571445454177747,-0.4169250572262109,0.6767332249457041,0.7927181670352327,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,ReliabilityMedium,0.6057750008559785,0.33217572809421325,1.8236582315375123,0.06820375714757129,1.8326719810064138,.
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Smart_CockpitAdvanced,0.2378623744523047,0.24483880284786183,0.9715060345238979,0.33129634957042653,1.268534598042009,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Smart_CockpitIntermediate,0.37010634014350263,0.24218140926204654,1.5282194503337703,0.12645806115679636,1.447888575155947,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Convenience_intDifficult,-0.34670099828668505,0.16819765926816607,-2.0612712435784974,0.039277170036163433,0.7070166958599415,*
M56 full-sample reference,Full sample,Full sample,106,1036,2072,Convenience_intEasy,0.23672605668759936,0.25879194620611495,0.9147350223142523,0.36033075375985063,1.2670939583103855,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,BEV_Easy,0.24972630179590205,0.5578407008744041,0.4476659759756882,0.6543942803537703,1.2836740293264164,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,PowertrainBEV:ReliabilityHigh,-0.4194459140451615,0.46934376119305016,-0.8936859264496227,0.3714899574032214,0.6574109811085999,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,PowertrainBEV:ReliabilityMedium,-0.15507413309271734,0.49380262657594876,-0.3140407214275243,0.7534901108655381,0.8563516911311055,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,PowertrainBEV:Smart_CockpitAdvanced,0.3921660649978265,0.2943478632494686,1.3323217660508515,0.1827544777152339,1.4801834976627983,
M56 full-sample reference,Full sample,Full sample,106,1036,2072,PowertrainBEV:Smart_CockpitIntermediate,0.004761432406397366,0.2873937912253979,0.016567624464312307,0.9867815529470186,1.0047727860383757,
M56 subgroup: Charging_access_binary = Home charging access,Charging_access_binary,Home charging access,53,517,1034,"Purchase_PriceRMB 150,000–170,000",-0.19435668812830334,0.3464239159707361,-0.5610371546770503,0.5747722087568395,0.8233641676616356,
M56 subgroup: Charging_access_binary = Home charging access,Charging_access_binary,Home charging access,53,517,1034,"Purchase_PriceRMB 190,000–210,000",-0.28069692122234163,0.29436640958268007,-0.9535630156317172,0.34030488423963257,0.7552572032259491,
M56 subgroup: Charging_access_binary = Home charging access,Charging_access_binary,Home charging access,53,517,1034,Monthly_Operating_CostRMB 300/month,0.7862633042695419,0.32893112104808525,2.39035850959995,0.01683193332006598,2.195178367991376,*
