RespondentID,Block,TaskNumber,Task,TaskID,ChoiceRaw,Alternative_code,Choice,Alternative,Purchase_Price,Powertrain,Monthly_Operating_Cost,Convenience,Smart_Cockpit,Reliability,Cabin_Comfort,Age_raw,Gender_raw,Education_raw,Income_raw,City_tier_raw,Car_ownership_raw,Charging_access_raw,Commute_distance_raw,EV_experience_raw,Age_group,Gender,Education_binary,Income_binary,City_tier_binary,Car_ownership,Charging_access_binary,Commute_binary,EV_experience,choice_set_id,Purchase_Price_mid,Monthly_Cost_num,price_10k,cost_100
1,TB1,1,T01,TB1_T01,A,A,TRUE,BEV,"RMB 150,000–170,000",BEV,RMB 300/month,Difficult,Advanced,High,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB1_T01,160000,300,16,3
1,TB1,1,T01,TB1_T01,A,B,FALSE,ICEV,"RMB 150,000–170,000",ICEV,RMB 600/month,Moderate,Advanced,High,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB1_T01,160000,600,16,6
1,TB2,2,T02,TB2_T02,B,A,FALSE,BEV,"RMB 190,000–210,000",BEV,RMB 300/month,Difficult,Advanced,Medium,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB2_T02,200000,300,20,3
1,TB2,2,T02,TB2_T02,B,B,TRUE,ICEV,"RMB 150,000–170,000",ICEV,RMB 600/month,Easy,Intermediate,Medium,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB2_T02,160000,600,16,6
1,TB3,3,T03,TB3_T03,A,A,TRUE,BEV,"RMB 190,000–210,000",BEV,RMB 300/month,Easy,Intermediate,High,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB3_T03,200000,300,20,3
1,TB3,3,T03,TB3_T03,A,B,FALSE,ICEV,"RMB 150,000–170,000",ICEV,RMB 600/month,Moderate,Basic,High,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB3_T03,160000,600,16,6
1,TB4,4,T04,TB4_T04,B,A,FALSE,BEV,"RMB 150,000–170,000",BEV,RMB 600/month,Easy,Advanced,Low,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB4_T04,160000,600,16,6
1,TB4,4,T04,TB4_T04,B,B,TRUE,ICEV,"RMB 150,000–170,000",ICEV,RMB 300/month,Moderate,Advanced,Medium,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB4_T04,160000,300,16,3
1,TB5,5,T05,TB5_T05,A,A,TRUE,BEV,"RMB 150,000–170,000",BEV,RMB 300/month,Moderate,Intermediate,Medium,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB5_T05,160000,300,16,3
1,TB5,5,T05,TB5_T05,A,B,FALSE,ICEV,"RMB 110,000–130,000",ICEV,RMB 900/month,Moderate,Basic,Medium,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB5_T05,120000,900,12,9
1,TB6,6,T06,TB6_T06,A,A,TRUE,BEV,"RMB 110,000–130,000",BEV,RMB 600/month,Difficult,Intermediate,Low,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB6_T06,120000,600,12,6
1,TB6,6,T06,TB6_T06,A,B,FALSE,ICEV,"RMB 190,000–210,000",ICEV,RMB 600/month,Moderate,Intermediate,Low,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB6_T06,200000,600,20,6
1,TB7,7,T07,TB7_T07,A,A,TRUE,BEV,"RMB 110,000–130,000",BEV,RMB 600/month,Easy,Advanced,Medium,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB7_T07,120000,600,12,6
1,TB7,7,T07,TB7_T07,A,B,FALSE,ICEV,"RMB 110,000–130,000",ICEV,RMB 300/month,Moderate,Intermediate,High,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB7_T07,120000,300,12,3
1,TB8,8,T08,TB8_T08,B,A,FALSE,BEV,"RMB 190,000–210,000",BEV,RMB 300/month,Moderate,Basic,Low,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB8_T08,200000,300,20,3
1,TB8,8,T08,TB8_T08,B,B,TRUE,ICEV,"RMB 110,000–130,000",ICEV,RMB 300/month,Moderate,Basic,Low,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB8_T08,120000,300,12,3
1,TB9,9,T09,TB9_T09,A,A,TRUE,BEV,"RMB 150,000–170,000",BEV,RMB 300/month,Difficult,Intermediate,Low,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB9_T09,160000,300,16,3
1,TB9,9,T09,TB9_T09,A,B,FALSE,ICEV,"RMB 190,000–210,000",ICEV,RMB 900/month,Moderate,Advanced,Medium,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB9_T09,200000,900,20,9
1,TB10,10,T10,TB10_T10,A,A,TRUE,BEV,"RMB 110,000–130,000",BEV,RMB 300/month,Moderate,Basic,Low,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB10_T10,120000,300,12,3
1,TB10,10,T10,TB10_T10,A,B,FALSE,ICEV,"RMB 190,000–210,000",ICEV,RMB 600/month,Easy,Advanced,Medium,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,Home charging access,Medium/long commute,EV experience,1_TB10_T10,200000,600,20,6
2,TA1,1,T01,TA1_T01,B,A,FALSE,BEV,"RMB 110,000–130,000",BEV,RMB 600/month,Moderate,Advanced,Medium,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA1_T01,120000,600,12,6
2,TA1,1,T01,TA1_T01,B,B,TRUE,ICEV,"RMB 110,000–130,000",ICEV,RMB 300/month,Easy,Intermediate,Medium,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA1_T01,120000,300,12,3
2,TA2,2,T02,TA2_T02,B,A,FALSE,BEV,"RMB 150,000–170,000",BEV,RMB 600/month,Difficult,Intermediate,Medium,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA2_T02,160000,600,16,6
2,TA2,2,T02,TA2_T02,B,B,TRUE,ICEV,"RMB 150,000–170,000",ICEV,RMB 300/month,Easy,Advanced,Low,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA2_T02,160000,300,16,3
2,TA3,3,T03,TA3_T03,A,A,TRUE,BEV,"RMB 190,000–210,000",BEV,RMB 600/month,Moderate,Advanced,High,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA3_T03,200000,600,20,6
2,TA3,3,T03,TA3_T03,A,B,FALSE,ICEV,"RMB 150,000–170,000",ICEV,RMB 900/month,Easy,Advanced,High,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA3_T03,160000,900,16,9
2,TA4,4,T04,TA4_T04,A,A,TRUE,BEV,"RMB 150,000–170,000",BEV,RMB 300/month,Moderate,Intermediate,High,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA4_T04,160000,300,16,3
2,TA4,4,T04,TA4_T04,A,B,FALSE,ICEV,"RMB 190,000–210,000",ICEV,RMB 900/month,Easy,Intermediate,High,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA4_T04,200000,900,20,9
2,TA5,5,T05,TA5_T05,A,A,TRUE,BEV,"RMB 190,000–210,000",BEV,RMB 300/month,Moderate,Advanced,Low,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA5_T05,200000,300,20,3
2,TA5,5,T05,TA5_T05,A,B,FALSE,ICEV,"RMB 190,000–210,000",ICEV,RMB 300/month,Moderate,Basic,High,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA5_T05,200000,300,20,3
2,TA6,6,T06,TA6_T06,A,A,TRUE,BEV,"RMB 110,000–130,000",BEV,RMB 300/month,Easy,Basic,Medium,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA6_T06,120000,300,12,3
2,TA6,6,T06,TA6_T06,A,B,FALSE,ICEV,"RMB 150,000–170,000",ICEV,RMB 900/month,Easy,Intermediate,Medium,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA6_T06,160000,900,16,9
2,TA7,7,T07,TA7_T07,A,A,TRUE,BEV,"RMB 110,000–130,000",BEV,RMB 600/month,Moderate,Intermediate,Low,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA7_T07,120000,600,12,6
2,TA7,7,T07,TA7_T07,A,B,FALSE,ICEV,"RMB 190,000–210,000",ICEV,RMB 600/month,Easy,Advanced,Low,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA7_T07,200000,600,20,6
2,TA8,8,T08,TA8_T08,A,A,TRUE,BEV,"RMB 190,000–210,000",BEV,RMB 600/month,Difficult,Basic,High,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA8_T08,200000,600,20,6
2,TA8,8,T08,TA8_T08,A,B,FALSE,ICEV,"RMB 110,000–130,000",ICEV,RMB 900/month,Easy,Basic,High,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA8_T08,120000,900,12,9
2,TA9,9,T09,TA9_T09,A,A,TRUE,BEV,"RMB 150,000–170,000",BEV,RMB 600/month,Easy,Basic,High,Basic,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA9_T09,160000,600,16,6
2,TA9,9,T09,TA9_T09,A,B,FALSE,ICEV,"RMB 150,000–170,000",ICEV,RMB 900/month,Moderate,Basic,Low,Premium,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA9_T09,160000,900,16,9
2,TA10,10,T10,TA10_T10,A,A,TRUE,BEV,"RMB 190,000–210,000",BEV,RMB 600/month,Moderate,Basic,Medium,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA10_T10,200000,600,20,6
2,TA10,10,T10,TA10_T10,A,B,FALSE,ICEV,"RMB 110,000–130,000",ICEV,RMB 900/month,Moderate,Intermediate,Low,Improved,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,18-29,Female,Master or above,"≤15,000 RMB",High-tier city,Car ownership,No/uncertain charging access,No/short commute,No EV experience,2_TA10_T10,120000,900,12,9
