Finished,Q1,TA1,TA2,TA3,TA4,TA5,TA6,TA7,TA8,TA9,TA10,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Task_block,RespondentID
True,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,B,A,B,A,A,A,B,A,A,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,Yes,11-30 km,Yes,B,1
True,Yes,B,B,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-29 years,Female,Master or above,"8,001-15,000 RMB",Tier1/NewTier1 city,Yes,No,<=10 km,No,A,2
True,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,B,A,A,A,B,B,B,B,25-29 years,Female,Master or above,"15,001–25,000元",Tier1/NewTier1 city,Yes,No,11-30 km,No,B,3
True,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,35-39 years,Female,Bachelor,"8,000元以下",Tier3 or lower city,Yes,No,<=10 km,Yes,B,4
True,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40+ years,Female,Bachelor,"8,001-15,000 RMB",Villages,Yes,No,<=10 km,No,A,5
True,Yes,B,B,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-29 years,Male,Bachelor,"8,000元以下",Tier3 or lower city,Yes,Yes,11-30 km,No,A,6
True,Yes,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-29 years,Female,Bachelor,"8,000元以下",Tier1/NewTier1 city,Yes,Yes,<=10 km,No,A,8
True,Yes,B,B,B,B,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35-39 years,Female,Master or above,"8,001-15,000 RMB",Tier3 or lower city,Yes,No,<=10 km,No,A,9
True,Yes,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40+ years,Male,College or below,"8,001-15,000 RMB",Tier3 or lower city,Yes,Yes,<=10 km,No,A,10
True,是,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,B,A,A,A,A,B,B,18-24 years,Male,Bachelor,"8,001-15,000 RMB",Tier1/NewTier1 city,No,No,11-30 km,Yes,B,11
